Brand Name,Generic Name,Drug Uses**,,
Acamprosate Calcium,Acamprosate Calcium,"This medication is used along with counseling and support to help people who are alcohol dependent not drink alcohol. Acamprosate works by restoring the natural balance of chemicals in the brain (neurotransmitters). Before starting this medication, you should no longer be drinking alcohol. Acamprosate has not been shown to work well if you are still drinking alcohol when you start taking it. NOTE:   This is a summary and does not contain all possible information about this product.  For complete information about this product or your specific health needs, ask your healthcare professional.  Always seek the advice of your healthcare professional if you have any questions about this product or your medical condition.  This information is not intended as individual medical advice and does not substitute for the knowledge and judgment of your healthcare professional.  This information does not contain any assurances that this product is safe, effective or appropriate for you.",,
Acanya,Clindamycin Phos/Benzoyl Perox,"This combination medication is used to treat a certain type of acne (inflammatory acne vulgaris). It helps to decrease the number of acne pimples. Clindamycin is an antibiotic that stops the growth of acne-causing bacteria. Benzoyl peroxide can also stop the growth of bacteria as well as reduce oil production in the skin, helping keep your pores open. NOTE:   This is a summary and does not contain all possible information about this product.  For complete information about this product or your specific health needs, ask your healthcare professional.  Always seek the advice of your healthcare professional if you have any questions about this product or your medical condition.  This information is not intended as individual medical advice and does not substitute for the knowledge and judgment of your healthcare professional.  This information does not contain any assurances that this product is safe, effective or appropriate for you.",,
Acarbose,Acarbose,"Acarbose is used with a proper diet and exercise program to control high blood sugar in people with type 2 diabetes. Controlling high blood sugar helps prevent kidney damage, blindness, nerve problems, loss of limbs, and sexual function problems. Proper control of diabetes may also lessen your risk of a heart attack or stroke. Acarbose works in your intestines to slow the breakdown and absorption of carbohydrates from foods that you eat. This effect helps lessen your blood sugar rise after a meal. NOTE:   This is a summary and does not contain all possible information about this product.  For complete information about this product or your specific health needs, ask your healthcare professional.  Always seek the advice of your healthcare professional if you have any questions about this product or your medical condition.  This information is not intended as individual medical advice and does not substitute for the knowledge and judgment of your healthcare professional.  This information does not contain any assurances that this product is safe, effective or appropriate for you.",,
Accolate,Zafirlukast,"Zafirlukast is used to control and prevent symptoms (such as wheezing and shortness of breath) caused by asthma. Controlling symptoms of asthma helps you maintain your normal activities and cuts down on time lost from work or school. This medication must be used regularly to be effective. It does not work right away and should not be used to relieve sudden asthma attacks. If an asthma attack occurs, use your quick-relief inhaler (such as albuterol, salbutamol) as prescribed. NOTE:   This is a summary and does not contain all possible information about this product.  For complete information about this product or your specific health needs, ask your healthcare professional.  Always seek the advice of your healthcare professional if you have any questions about this product or your medical condition.  This information is not intended as individual medical advice and does not substitute for the knowledge and judgment of your healthcare professional.  This information does not contain any assurances that this product is safe, effective or appropriate for you.",,
Accutane,Isotretinoin,"This medication is used to treat severe cystic acne (also known as nodular acne) that has not responded to other treatment (such as benzoyl peroxide or clindamycin applied to the skin or tetracycline or minocycline taken by mouth). It belongs to a class of drugs known as retinoids. It works by decreasing facial oil (sebum) production. High amounts of sebum can lead to severe acne. If left untreated, severe acne may cause permanent scarring. NOTE:   This is a summary and does not contain all possible information about this product.  For complete information about this product or your specific health needs, ask your healthcare professional.  Always seek the advice of your healthcare professional if you have any questions about this product or your medical condition.  This information is not intended as individual medical advice and does not substitute for the knowledge and judgment of your healthcare professional.  This information does not contain any assurances that this product is safe, effective or appropriate for you.",,
Acebutolol HCl,Acebutolol HCl,"Acebutolol is used to treat high blood pressure and irregular heartbeat (arrhythmia). Lowering high blood pressure helps prevent strokes, heart attacks, and kidney problems. Treating irregular heartbeat helps the heart work better and with less strain. Irregular heartbeats can be serious and may sometimes even lead to a heart attack. This medication belongs to a class of drugs known as beta blockers. It works by blocking the action of certain natural substances in your body, such as epinephrine, on the heart and blood vessels. This effect lowers heart rate, blood pressure, and strain on the heart. NOTE:   This is a summary and does not contain all possible information about this product.  For complete information about this product or your specific health needs, ask your healthcare professional.  Always seek the advice of your healthcare professional if you have any questions about this product or your medical condition.  This information is not intended as individual medical advice and does not substitute for the knowledge and judgment of your healthcare professional.  This information does not contain any assurances that this product is safe, effective or appropriate for you.",,
Acetamin-Caff-Dihydrocodeine,Acetaminophen/Caff/Dihydrocod,"See also Warning section. This combination medication is used to help relieve moderate to severe pain. It contains an opioid pain reliever (dihydrocodeine), a non-opioid pain reliever (acetaminophen), and caffeine. Dihydrocodeine works in the brain to change how your body feels and responds to pain. Acetaminophen can also reduce a fever. Caffeine increases pain relief, especially for certain types of headaches. NOTE:   This is a summary and does not contain all possible information about this product.  For complete information about this product or your specific health needs, ask your healthcare professional.  Always seek the advice of your healthcare professional if you have any questions about this product or your medical condition.  This information is not intended as individual medical advice and does not substitute for the knowledge and judgment of your healthcare professional.  This information does not contain any assurances that this product is safe, effective or appropriate for you.",,
Acetaminophen,Acetaminophen,"This drug is used to treat mild to moderate pain and to reduce fever. It is also used in combination with opioid pain medications to help relieve moderate to severe pain. NOTE:   This is a summary and does not contain all possible information about this product.  For complete information about this product or your specific health needs, ask your healthcare professional.  Always seek the advice of your healthcare professional if you have any questions about this product or your medical condition.  This information is not intended as individual medical advice and does not substitute for the knowledge and judgment of your healthcare professional.  This information does not contain any assurances that this product is safe, effective or appropriate for you.",,
Acetaminophen-Codeine,Acetaminophen With Codeine,"See also Warning section. This combination medication is used to help relieve mild to moderate pain. It contains an opioid pain reliever (codeine) and a non-opioid pain reliever (acetaminophen). Codeine works in the brain to change how your body feels and responds to pain. Acetaminophen can also reduce a fever. NOTE:   This is a summary and does not contain all possible information about this product.  For complete information about this product or your specific health needs, ask your healthcare professional.  Always seek the advice of your healthcare professional if you have any questions about this product or your medical condition.  This information is not intended as individual medical advice and does not substitute for the knowledge and judgment of your healthcare professional.  This information does not contain any assurances that this product is safe, effective or appropriate for you.",,
Acetazolamide,Acetazolamide,"Acetazolamide is used to prevent and reduce the symptoms of altitude sickness. This medication can decrease headache, tiredness, nausea, dizziness, and shortness of breath that can occur when you climb quickly to high altitudes (generally above 10,000 feet/3,048 meters). It is particularly useful in situations when you cannot make a slow ascent. The best ways to prevent altitude sickness are climbing slowly, stopping for 24 hours during the climb to allow the body to adjust to the new height, and taking it easy the first 1 to 2 days. This medication is also used with other medications to treat high pressure inside the eye due to certain types of glaucoma. Acetazolamide belongs to a class of drugs known as carbonic anhydrase inhibitors. It works by decreasing the production of fluid inside the eye. It is also used to decrease a buildup of body fluids (edema) caused by heart failure or certain medications. Acetazolamide can work less well over time, so it is usually used only for a short period. It has also been used with other medications to treat certain types of seizures (petit mal and unlocalized seizures). NOTE:   This is a summary and does not contain all possible information about this product.  For complete information about this product or your specific health needs, ask your healthcare professional.  Always seek the advice of your healthcare professional if you have any questions about this product or your medical condition.  This information is not intended as individual medical advice and does not substitute for the knowledge and judgment of your healthcare professional.  This information does not contain any assurances that this product is safe, effective or appropriate for you.",,
Acetazolamide ER,Acetazolamide,"Acetazolamide is used to prevent and reduce the symptoms of altitude sickness. This medication can decrease headache, tiredness, nausea, dizziness, and shortness of breath that can occur when you climb quickly to high altitudes (generally above 10,000 feet/3,048 meters). It is particularly useful in situations when you cannot make a slow ascent. The best ways to prevent altitude sickness are climbing slowly, stopping for 24 hours during the climb to allow the body to adjust to the new height, and taking it easy the first 1 to 2 days. This medication is also used with other medications to treat high pressure inside the eye due to certain types of glaucoma. Acetazolamide belongs to a class of drugs known as carbonic anhydrase inhibitors. It works by decreasing the production of fluid inside the eye. It is also used to decrease a buildup of body fluids (edema) caused by heart failure or certain medications. Acetazolamide can work less well over time, so it is usually used only for a short period. It has also been used with other medications to treat certain types of seizures (petit mal and unlocalized seizures). NOTE:   This is a summary and does not contain all possible information about this product.  For complete information about this product or your specific health needs, ask your healthcare professional.  Always seek the advice of your healthcare professional if you have any questions about this product or your medical condition.  This information is not intended as individual medical advice and does not substitute for the knowledge and judgment of your healthcare professional.  This information does not contain any assurances that this product is safe, effective or appropriate for you.",,
Acetazolamide Sodium,Acetazolamide Sodium,"This medication is used with other medications to treat high pressure inside the eye due to certain types of glaucoma. Acetazolamide belongs to a class of drugs known as carbonic anhydrase inhibitors. It works by decreasing the production of fluid inside the eye. It is also used to decrease a buildup of body fluids (edema) caused by heart failure or certain medications. Acetazolamide can work less well over time, so it is usually used only for a short period. It has also been used with other medications to treat certain types of seizures (petit mal and unlocalized seizures). NOTE:   This is a summary and does not contain all possible information about this product.  For complete information about this product or your specific health needs, ask your healthcare professional.  Always seek the advice of your healthcare professional if you have any questions about this product or your medical condition.  This information is not intended as individual medical advice and does not substitute for the knowledge and judgment of your healthcare professional.  This information does not contain any assurances that this product is safe, effective or appropriate for you.",,
Acetic Acid*,Acetic Acid,"Acetic acid is used to treat an outer ear infection (external otitis). It works by stopping the growth of bacteria and fungus. Treating the infection reduces pain and swelling in the ear. Wetness in the ear canal can help bacteria and fungus to grow. This medication may also contain drying ingredients such as glycerin or alcohol. Drying of the ear canal helps to cure the infection. NOTE:   This is a summary and does not contain all possible information about this product.  For complete information about this product or your specific health needs, ask your healthcare professional.  Always seek the advice of your healthcare professional if you have any questions about this product or your medical condition.  This information is not intended as individual medical advice and does not substitute for the knowledge and judgment of your healthcare professional.  This information does not contain any assurances that this product is safe, effective or appropriate for you.",,
Acetylcysteine*,Acetylcysteine,"When inhaled by mouth, acetylcysteine is used to help thin and loosen mucus in the airways due to certain lung diseases (such as emphysema, bronchitis, cystic fibrosis, pneumonia). This effect helps you to clear the mucus from your lungs so that you can breathe easier. When taken by mouth, acetylcysteine is used to prevent liver damage from acetaminophen overdose. NOTE:   This is a summary and does not contain all possible information about this product.  For complete information about this product or your specific health needs, ask your healthcare professional.  Always seek the advice of your healthcare professional if you have any questions about this product or your medical condition.  This information is not intended as individual medical advice and does not substitute for the knowledge and judgment of your healthcare professional.  This information does not contain any assurances that this product is safe, effective or appropriate for you.",,
Aciphex,Rabeprazole Sodium,"Rabeprazole is used to treat certain stomach and esophagus problems (such as acid reflux, ulcers). It works by decreasing the amount of acid your stomach makes. It relieves symptoms such as heartburn, difficulty swallowing, and cough. This medication helps heal acid damage to the stomach and esophagus, helps prevent ulcers, and may help prevent cancer of the esophagus. Rabeprazole belongs to a class of drugs known as proton pump inhibitors (PPIs). NOTE:   This is a summary and does not contain all possible information about this product.  For complete information about this product or your specific health needs, ask your healthcare professional.  Always seek the advice of your healthcare professional if you have any questions about this product or your medical condition.  This information is not intended as individual medical advice and does not substitute for the knowledge and judgment of your healthcare professional.  This information does not contain any assurances that this product is safe, effective or appropriate for you.",,
Acitretin,Acitretin,"This medication is a retinoid used in the treatment of severe psoriasis and other skin disorders in adults. NOTE:   This is a summary and does not contain all possible information about this product.  For complete information about this product or your specific health needs, ask your healthcare professional.  Always seek the advice of your healthcare professional if you have any questions about this product or your medical condition.  This information is not intended as individual medical advice and does not substitute for the knowledge and judgment of your healthcare professional.  This information does not contain any assurances that this product is safe, effective or appropriate for you.",,
Actemra Actpen,Tocilizumab,"This medication is used to treat rheumatoid arthritis in adults and in children (such as polyarticular juvenile idiopathic arthritis-PJIA, systemic juvenile idiopathic arthritis-SJIA). It helps to reduce pain and swelling due to rheumatoid arthritis. Tocilizumab is used to treat giant cell arteritis. It helps to reduce swelling in your blood vessels so blood can flow more easily. This medication is also used to slow down the decrease in lung function in people with a certain type of lung disease (systemic sclerosis-associated interstitial lung disease - SSc-ILD). Tocilizumab belongs to a class of drugs known as Interleukin-6 (IL-6) blockers. It works by blocking IL-6, a substance made by the body that causes swelling (inflammation). NOTE:   This is a summary and does not contain all possible information about this product.  For complete information about this product or your specific health needs, ask your healthcare professional.  Always seek the advice of your healthcare professional if you have any questions about this product or your medical condition.  This information is not intended as individual medical advice and does not substitute for the knowledge and judgment of your healthcare professional.  This information does not contain any assurances that this product is safe, effective or appropriate for you.",,
Actemra*,Tocilizumab,"This medication is used to treat rheumatoid arthritis in adults and in children (such as polyarticular juvenile idiopathic arthritis-PJIA, systemic juvenile idiopathic arthritis-SJIA). It helps to reduce pain and swelling due to rheumatoid arthritis. Tocilizumab is used to treat giant cell arteritis. It helps to reduce swelling in your blood vessels so blood can flow more easily. This medication is also used to slow down the decrease in lung function in people with a certain type of lung disease (systemic sclerosis-associated interstitial lung disease - SSc-ILD). Tocilizumab belongs to a class of drugs known as Interleukin-6 (IL-6) blockers. It works by blocking IL-6, a substance made by the body that causes swelling (inflammation). NOTE:   This is a summary and does not contain all possible information about this product.  For complete information about this product or your specific health needs, ask your healthcare professional.  Always seek the advice of your healthcare professional if you have any questions about this product or your medical condition.  This information is not intended as individual medical advice and does not substitute for the knowledge and judgment of your healthcare professional.  This information does not contain any assurances that this product is safe, effective or appropriate for you.",,
Acthar,Corticotropin,"This medication is used to treat a certain type of seizure in children (infantile spasms). This medication is also used to treat conditions such as multiple sclerosis, arthritis, lupus, eye conditions, skin/kidney/lung diseases, and immune system disorders. It decreases your immune system's response to various diseases to reduce symptoms such as swelling, pain, and allergic-type reactions. Corticotropin is a hormone. NOTE:   This is a summary and does not contain all possible information about this product.  For complete information about this product or your specific health needs, ask your healthcare professional.  Always seek the advice of your healthcare professional if you have any questions about this product or your medical condition.  This information is not intended as individual medical advice and does not substitute for the knowledge and judgment of your healthcare professional.  This information does not contain any assurances that this product is safe, effective or appropriate for you.",,
Acthib,Haemoph B Poly Conj-Tet Tox/PF,"This vaccine helps protect young children from Haemophilus influenzae type b (Hib) infection. Hib is a bacterial infection that can cause serious illness, including brain infection (meningitis). Children younger than age 5 are at highest risk for infection. Vaccination is the best way to protect against this life-threatening disease. Vaccines work by causing the body to produce its own protection (antibodies). This vaccine is not usually used by children over the age of 4 or in adults. NOTE:   This is a summary and does not contain all possible information about this product.  For complete information about this product or your specific health needs, ask your healthcare professional.  Always seek the advice of your healthcare professional if you have any questions about this product or your medical condition.  This information is not intended as individual medical advice and does not substitute for the knowledge and judgment of your healthcare professional.  This information does not contain any assurances that this product is safe, effective or appropriate for you.",,
Actimmune,"Interferon Gamma-1b,Recomb.","This medication is used to reduce the frequency and severity of serious infections due to chronic granulomatous disease, a disorder that runs in families. This drug is often used along with antibiotics to help prevent these serious infections. This medication is also used to slow the worsening of malignant osteopetrosis, another disorder that runs in families, that affects bones, nerves, and blood. This medication is the same as a protein that your body naturally produces (interferon). In the body, it is thought to work by affecting cell function/growth and the body's natural defenses (immune system) in many ways. Adding more interferon may help your body fight off serious infections. NOTE:   This is a summary and does not contain all possible information about this product.  For complete information about this product or your specific health needs, ask your healthcare professional.  Always seek the advice of your healthcare professional if you have any questions about this product or your medical condition.  This information is not intended as individual medical advice and does not substitute for the knowledge and judgment of your healthcare professional.  This information does not contain any assurances that this product is safe, effective or appropriate for you.",,
Activella,Estradiol/Norethindrone Acet,"This medication contains 2 hormones: an estrogen (such as conjugated estrogen, estradiol) and a progestin (such as medroxyprogesterone, norethindrone, norgestimate). Some brands of this medication may contain progesterone instead of a progestin. Progesterone and progestin both act like the form of the natural hormone (progesterone) produced by your body. This medication is used by women to help reduce symptoms of menopause (such as hot flashes, vaginal dryness). These symptoms are caused by the body making less estrogen. The progestin or progesterone in this medication helps to reduce the risk of cancer of the uterus which can be caused by using estrogen. Women who have had their uterus removed do not need the progestin or progesterone. They should not use this combination medication. If you are using this medication to treat symptoms only in and around the vagina, products applied directly inside the vagina should be considered before medications that are taken by mouth, absorbed through the skin, or injected. This medication may also be used by women after menopause to prevent bone loss (osteoporosis). However, there are other medications (such as raloxifene, bisphosphonates including alendronate) that are also effective in preventing bone loss and may be safer. These medications should be considered for use before estrogen/progestin treatment. NOTE:   This is a summary and does not contain all possible information about this product.  For complete information about this product or your specific health needs, ask your healthcare professional.  Always seek the advice of your healthcare professional if you have any questions about this product or your medical condition.  This information is not intended as individual medical advice and does not substitute for the knowledge and judgment of your healthcare professional.  This information does not contain any assurances that this product is safe, effective or appropriate for you.",,
Actonel,Risedronate Sodium,"Risedronate is used to prevent and treat certain types of bone loss (osteoporosis) in adults. Osteoporosis causes bones to become thinner and break more easily. Your chance of developing osteoporosis increases as you age, after menopause, or if you are taking corticosteroid medications (such as prednisone) for a long time. This medication works by slowing bone loss to help maintain strong bones and reduce the risk of broken bones (fractures). Risedronate belongs to a class of medications called bisphosphonates. NOTE:   This is a summary and does not contain all possible information about this product.  For complete information about this product or your specific health needs, ask your healthcare professional.  Always seek the advice of your healthcare professional if you have any questions about this product or your medical condition.  This information is not intended as individual medical advice and does not substitute for the knowledge and judgment of your healthcare professional.  This information does not contain any assurances that this product is safe, effective or appropriate for you.",,
Actoplus Met,Pioglitazone HCl/Metformin HCl,"This combination medication is used along with a proper diet and exercise program to control high blood sugar in people with type 2 diabetes. Controlling high blood sugar helps prevent kidney damage, blindness, nerve problems, loss of limbs, and sexual function problems. Proper control of diabetes may also lessen your risk of a heart attack or stroke. Pioglitazone belongs to a class of drugs known as thiazolidinediones or ""glitazones"". Metformin and pioglitazone work by helping to restore your body's proper response to the insulin you naturally produce. Metformin also decreases the amount of sugar that your liver makes and that your stomach/intestines absorb. Talk to your doctor about the risks and benefits of using pioglitazone-containing products. NOTE:   This is a summary and does not contain all possible information about this product.  For complete information about this product or your specific health needs, ask your healthcare professional.  Always seek the advice of your healthcare professional if you have any questions about this product or your medical condition.  This information is not intended as individual medical advice and does not substitute for the knowledge and judgment of your healthcare professional.  This information does not contain any assurances that this product is safe, effective or appropriate for you.",,
Actos,Pioglitazone HCl,"Pioglitazone is a diabetes drug (thiazolidinedione-type, also called ""glitazones"") used along with a proper diet and exercise program to control high blood sugar in patients with type 2 diabetes. It works by helping to restore your body's proper response to insulin, thereby lowering your blood sugar. Controlling high blood sugar helps prevent kidney damage, blindness, nerve problems, loss of limbs, and sexual function problems. Proper control of diabetes may also lessen your risk of a heart attack or stroke. Pioglitazone is used either alone or in combination with other diabetes medications (such as metformin or a sulfonylurea such as glyburide). Talk to your doctor about the risks and benefits of pioglitazone. NOTE:   This is a summary and does not contain all possible information about this product.  For complete information about this product or your specific health needs, ask your healthcare professional.  Always seek the advice of your healthcare professional if you have any questions about this product or your medical condition.  This information is not intended as individual medical advice and does not substitute for the knowledge and judgment of your healthcare professional.  This information does not contain any assurances that this product is safe, effective or appropriate for you.",,
Acular,Ketorolac Tromethamine,"This medication is used to temporarily relieve itching eyes caused by seasonal allergies. It is also used to prevent and treat eye swelling due to a certain type of eye surgery (cataract removal). Ketorolac belongs to a class of drugs known as nonsteroidal anti-inflammatory drugs (NSAIDs). It works by blocking certain natural substances in your body to reduce pain and swelling. NOTE:   This is a summary and does not contain all possible information about this product.  For complete information about this product or your specific health needs, ask your healthcare professional.  Always seek the advice of your healthcare professional if you have any questions about this product or your medical condition.  This information is not intended as individual medical advice and does not substitute for the knowledge and judgment of your healthcare professional.  This information does not contain any assurances that this product is safe, effective or appropriate for you.",,
Acular Ls,Ketorolac Tromethamine,"This medication is used to relieve eye pain, burning, and stinging following a certain type of corrective eye surgery (corneal refractive surgery). Ketorolac belongs to a class of drugs known as nonsteroidal anti-inflammatory drugs (NSAIDs). It works by blocking certain natural substances in your body to reduce pain and swelling. NOTE:   This is a summary and does not contain all possible information about this product.  For complete information about this product or your specific health needs, ask your healthcare professional.  Always seek the advice of your healthcare professional if you have any questions about this product or your medical condition.  This information is not intended as individual medical advice and does not substitute for the knowledge and judgment of your healthcare professional.  This information does not contain any assurances that this product is safe, effective or appropriate for you.",,
